Ref Id,Course Name,Level,Duration (Weeks),Start,Fees,Age,Occupation,Education Background,Country,Rating,Complete or Not,Reason for Doing Course,Total Time Spent (Hours),Skills Gained,Did this course meet your expectations?,Did this course help you improve your skills?,Did you gain practical knowledge from this course?,Did the course content effectively cover the topics it promised?,Did this course help you improve your skills?,Were the materials and resources provided sufficient?,Would you recommend this course to others?,Did the course length feel appropriate for the content covered?,Did you experience any technical issues during the course?,Do you believe the course provided good value for the cost?,Would you recommend this course to others?
202212F,Data Analyst,Intermediate,6,01-12-2022,6499,31,Freelancer,Bachelor's,India,5,No,Devlopment,34,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,,,,
202304F,Digital Marketing,Basic,4,15-04-2023,4499,23,Student,Master's,India,3,Yes,Job,20,"Azure, Pytorch, Chat Gpt",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes
202209M,Data Analyst,Basic,4,01-09-2022,4499,28,Business,High School,India,4,Yes,Change in field,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes
202204F,Data Analyst,Basic,4,01-04-2022,4499,33,Business,Bachelor's,USA,4,No,Promotion,31,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,,,,
202205M,Data Science,Basic,4,15-05-2022,4499,36,Job,Master's,India,4,Yes,Job,17,"Tableau, Advanced Mathematics, Excel",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202204M,Web Development,Basic,4,15-04-2022,4499,28,Business,Master's,USA,5,Yes,Devlopment,50,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202312F,Data Science,Intermediate,6,01-12-2023,6499,34,Business,Bachelor's,India,3,Yes,Devlopment,41,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
202301F,Web Development,Intermediate,6,01-01-2023,6499,21,Student,Master's,India,4,No,Promotion,41,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",,,,,,,,,,,
202308F,UX/UI Designer,Basic,4,15-08-2023,4499,30,Business,Master's,India,5,No,Job,28,"Adobe XD, Sketch, Figma,Axure",,,,,,,,,,,
202303M,Digital Marketing,Intermediate,6,01-03-2023,6499,31,Business,Bachelor's,India,5,Yes,Job,55,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
202406F,Data Science,Advanced,6,01-06-2024,8499,26,Business,Bachelor's,Germany,5,No,Devlopment,44,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,,,,
202209M,Digital Marketing,Intermediate,6,01-09-2022,6499,21,Freelancer,High School,India,2,No,Change in field,35,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,,,,
202205F,Web Development,Basic,4,15-05-2022,4499,33,Fresher,Master's,USA,4,Yes,Devlopment,18,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
202209M,Web Development,Advanced,6,01-09-2022,8499,30,Business,Master's,Germany,4,Yes,Devlopment,50,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
202204F,Web Development,Basic,4,15-04-2022,4499,31,Business,Master's,India,5,Yes,Job,27,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202302F,Data Science,Advanced,6,15-02-2023,8499,25,Fresher,Master's,India,3,Yes,Job,38,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
202304F,Digital Marketing,Advanced,6,15-04-2023,8499,20,Student,Master's,India,4,Yes,Job,52,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202408M,Data Science,Advanced,6,15-08-2024,8499,37,Business,Master's,India,5,Yes,Devlopment,40,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
202312M,Digital Marketing,Intermediate,6,15-12-2023,6499,24,Student,High School,India,5,Yes,Job,39,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202207M,Digital Marketing,Basic,4,15-07-2022,4499,19,Student,High School,India,5,Yes,Job,34,"Azure, Pytorch, Chat Gpt",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
202312M,UX/UI Designer,Basic,4,15-12-2023,4499,37,Business,Bachelor's,India,5,No,Devlopment,21,"Adobe XD, Sketch, Figma,Axure",,,,,,,,,,,
202307M,Data Science,Intermediate,6,01-07-2023,6499,34,Job,Bachelor's,India,4,Yes,Change in field,35,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202306M,Data Science,Intermediate,6,01-06-2023,6499,18,Student,Master's,India,3,No,Change in field,52,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,,,,
202302M,Data Science,Intermediate,6,15-02-2023,6499,28,Freelancer,High School,India,4,Yes,Change in field,31,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
202406F,Digital Marketing,Advanced,6,15-06-2024,8499,23,Student,Bachelor's,India,5,Yes,Change in field,53,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202211M,Data Science,Intermediate,6,01-11-2022,6499,22,Freelancer,Master's,India,1,No,Devlopment,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,,,,
202402M,Data Science,Basic,4,15-02-2024,4499,25,Student,Bachelor's,India,4,Yes,Change in field,26,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202301F,Data Science,Intermediate,6,15-01-2023,6499,25,Student,Master's,India,3,No,Job,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,,,,
202408F,UX/UI Designer,Advanced,6,15-08-2024,8499,19,Student,High School,India,4,No,Promotion,46,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",,,,,,,,,,,
202401M,Data Science,Intermediate,6,15-01-2024,6499,22,Fresher,Master's,India,4,Yes,Devlopment,55,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
202310F,Data Science,Basic,4,15-10-2023,4499,28,Business,Bachelor's,India,4,No,Devlopment,34,"Tableau, Advanced Mathematics, Excel",,,,,,,,,,,
202310M,UX/UI Designer,Basic,4,15-10-2023,4499,32,Business,High School,India,2,No,Promotion,31,"Adobe XD, Sketch, Figma,Axure",,,,,,,,,,,
202205F,Data Science,Basic,4,15-05-2022,4499,37,Job,High School,India,5,Yes,Promotion,22,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202401M,Web Development,Advanced,6,15-01-2024,8499,19,Fresher,Master's,India,4,Yes,Devlopment,47,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
202207M,Data Science,Advanced,6,01-07-2022,8499,27,Job,Bachelor's,India,4,No,Promotion,45,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,,,,
202206M,UX/UI Designer,Intermediate,6,01-06-2022,6499,31,Business,High School,India,3,No,Devlopment,42,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",,,,,,,,,,,
202310M,Data Science,Basic,4,15-10-2023,4499,29,Job,Master's,India,4,Yes,Change in field,30,"Tableau, Advanced Mathematics, Excel",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202208F,Web Development,Advanced,6,01-08-2022,8499,28,Job,High School,India,5,Yes,Change in field,42,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202306F,Data Science,Advanced,6,01-06-2023,8499,36,Fresher,Bachelor's,India,3,No,Devlopment,34,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,,,,
202308F,Digital Marketing,Basic,4,15-08-2023,4499,31,Freelancer,Master's,India,5,Yes,Devlopment,31,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
202204M,Data Science,Basic,4,15-04-2022,4499,35,Job,Master's,India,5,Yes,Promotion,23,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202201F,Web Development,Advanced,6,01-01-2022,8499,37,Business,Bachelor's,India,3,Yes,Devlopment,33,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
202409F,Web Development,Basic,4,01-09-2024,4499,29,Business,Bachelor's,India,4,Yes,Promotion,33,"Adobe XD, Sketch, Figma,Axure",No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
202306F,UX/UI Designer,Intermediate,6,15-06-2023,6499,30,Business,Bachelor's,India,5,Yes,Change in field,37,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
202312F,Data Science,Basic,4,01-12-2023,4499,27,Job,Master's,India,3,No,Promotion,16,"Tableau, Advanced Mathematics, Excel",,,,,,,,,,,
202203F,UX/UI Designer,Intermediate,6,01-03-2022,6499,20,Student,High School,India,2,No,Job,32,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",,,,,,,,,,,
202305F,Data Science,Basic,4,01-05-2023,4499,31,Business,High School,India,5,Yes,Promotion,23,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202203M,Data Science,Intermediate,6,15-03-2022,6499,26,Freelancer,Master's,India,4,Yes,Devlopment,40,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
202206M,UX/UI Designer,Basic,4,15-06-2022,4499,37,Business,High School,India,3,Yes,Devlopment,16,"Adobe XD, Sketch, Figma,Axure",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
202303F,Digital Marketing,Basic,4,15-03-2023,4499,26,Job,Bachelor's,India,4,No,Promotion,28,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,,,,
202402F,Machine Learning,Intermediate,6,15-02-2024,6499,28,Business,Bachelor's,Canada,3,No,Job,33,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",,,,,,,,,,,
202204F,Web Development,Advanced,6,01-04-2022,8499,28,Business,High School,India,5,No,Change in field,50,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",,,,,,,,,,,
202209M,Data Analyst,Basic,4,01-09-2022,4499,24,Student,Master's,India,4,No,Change in field,26,"Azure, Pytorch, Chat Gpt",,,,,,,,,,,
202206F,Data Analyst,Intermediate,6,15-06-2022,6499,18,Student,Master's,India,4,No,Change in field,38,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",,,,,,,,,,,
202401M,Data Analyst,Intermediate,6,01-01-2024,6499,29,Business,Bachelor's,India,2,No,Job,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,,,,
202308M,Data Analyst,Basic,4,15-08-2023,4499,25,Student,Master's,UK,4,Yes,Change in field,33,"Tableau, Advanced Mathematics, Excel",Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
202302M,Machine Learning,Advanced,6,01-02-2023,8499,31,Business,Master's,India,3,Yes,Devlopment,35,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No
202403M,Data Analyst,Advanced,6,15-03-2024,8499,18,Student,Master's,India,4,Yes,Job,32,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
202202M,Digital Marketing,Basic,4,01-02-2022,4499,34,Business,High School,India,2,No,Promotion,29,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,,,,
202407F,Machine Learning,Basic,4,15-07-2024,4499,26,Business,High School,India,4,No,Devlopment,27,"Azure, Pytorch, Chat Gpt",,,,,,,,,,,
202408F,Machine Learning,Intermediate,6,15-08-2024,6499,33,Business,Master's,India,4,Yes,Promotion,44,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
202312F,Machine Learning,Basic,4,15-12-2023,4499,29,Business,High School,India,3,No,Change in field,44,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",,,,,,,,,,,
202402M,Digital Marketing,Basic,4,15-02-2024,4499,34,Job,Bachelor's,India,3,Yes,Promotion,30,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
202202M,Web Development,Basic,4,15-02-2022,4499,30,Business,Master's,India,1,No,Change in field,45,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",,,,,,,,,,,
202205F,Machine Learning,Basic,4,15-05-2022,4499,37,Job,Bachelor's,India,1,No,Change in field,33,"Azure, Pytorch, Chat Gpt",,,,,,,,,,,
202403F,UX/UI Designer,Basic,4,15-03-2024,4499,30,Business,High School,Germany,5,Yes,Devlopment,23,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
202201M,Digital Marketing,Advanced,6,15-01-2022,8499,37,Job,Master's,India,3,Yes,Promotion,44,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
202301M,Web Development,Advanced,6,01-01-2023,8499,20,Fresher,Bachelor's,India,4,Yes,Devlopment,33,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
202201F,Web Development,Basic,4,15-01-2022,4499,35,Business,Master's,India,4,No,Devlopment,45,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",,,,,,,,,,,
202304M,Data Analyst,Basic,4,01-04-2023,4499,20,Student,Master's,India,5,No,Change in field,33,"Tableau, Advanced Mathematics, Excel",,,,,,,,,,,
202309F,Data Analyst,Advanced,6,15-09-2023,8499,19,Student,High School,USA,4,Yes,Promotion,37,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
202303F,UX/UI Designer,Basic,4,01-03-2023,4499,26,Business,Bachelor's,USA,3,Yes,Job,20,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
202304F,Data Science,Intermediate,6,15-04-2023,6499,22,Freelancer,Master's,India,2,No,Devlopment,55,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,Yes,,,
202401M,Machine Learning,Basic,4,15-01-2024,4499,32,Job,High School,India,5,No,Promotion,17,"Azure, Pytorch, Chat Gpt",,,,,,,,No,,,
202312F,Data Science,Intermediate,6,01-12-2023,6499,35,Fresher,Master's,Germany,4,No,Job,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202205M,Data Analyst,Advanced,6,01-05-2022,8499,18,Student,Master's,India,1,No,Job,38,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,Yes,,,
202201F,Web Development,Basic,4,01-01-2022,4499,19,Freelancer,Bachelor's,India,4,Yes,Change in field,31,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
202301F,Digital Marketing,Basic,4,01-01-2023,4499,31,Business,Bachelor's,India,5,No,Job,52,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,No,,,
202210M,Data Analyst,Advanced,6,15-10-2022,8499,23,Student,Master's,India,3,No,Job,52,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,No,,,
202205F,Web Development,Basic,4,01-05-2022,4499,31,Job,High School,India,3,No,Job,24,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",,,,,,,,No,,,
202302F,Data Analyst,Basic,4,01-02-2023,4499,20,Student,Master's,India,4,Yes,Job,30,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
202211M,Data Analyst,Advanced,6,01-11-2022,8499,22,Student,High School,India,4,No,Promotion,43,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,Yes,,,
202311M,Data Science,Basic,4,01-11-2023,4499,26,Business,Master's,India,2,No,Devlopment,32,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202304M,Data Analyst,Basic,4,01-04-2023,4499,28,Business,Bachelor's,Germany,4,No,Job,50,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,No,,,
202205F,Machine Learning,Intermediate,6,01-05-2022,6499,21,Freelancer,High School,India,4,No,Devlopment,44,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",,,,,,,,Yes,,,
202302F,Data Analyst,Basic,4,15-02-2023,4499,19,Student,Master's,India,5,Yes,Job,27,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202305M,Data Analyst,Intermediate,6,01-05-2023,6499,24,Student,Master's,India,2,No,Change in field,49,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,Yes,,,
202401M,Data Science,Advanced,6,15-01-2024,8499,19,Student,High School,India,4,Yes,Promotion,45,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
202207M,Data Science,Basic,4,01-07-2022,4499,27,Business,Bachelor's,India,4,Yes,Devlopment,45,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202202F,Web Development,Basic,4,15-02-2022,4499,27,Business,Bachelor's,India,4,Yes,Devlopment,31,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
202304M,Web Development,Intermediate,6,01-04-2023,6499,25,Freelancer,High School,UK,5,Yes,Job,48,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202202F,Data Science,Basic,4,15-02-2022,4499,19,Fresher,High School,India,5,Yes,Job,34,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202308M,Digital Marketing,Basic,4,15-08-2023,4499,31,Business,Bachelor's,India,3,No,Devlopment,40,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",,,,,,,,Yes,,,
202204F,Digital Marketing,Intermediate,6,01-04-2022,6499,35,Job,High School,India,3,Yes,Promotion,34,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
202406F,Data Analyst,Basic,4,15-06-2024,4499,26,Business,Bachelor's,India,4,Yes,Devlopment,46,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
202312M,Data Science,Basic,4,01-12-2023,4499,31,Job,Master's,India,5,No,Promotion,24,"Tableau, Advanced Mathematics, Excel",,,,,,,,Yes,,,
202301F,Digital Marketing,Basic,4,15-01-2023,4499,33,Business,Bachelor's,India,3,Yes,Devlopment,53,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
202308F,Data Science,Advanced,6,01-08-2023,8499,27,Job,Master's,India,3,Yes,Change in field,42,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
202409F,Data Analyst,Advanced,6,15-09-2024,8499,20,Fresher,High School,India,1,No,Devlopment,47,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,Yes,,,
202303F,Data Science,Advanced,6,15-03-2023,8499,19,Student,Master's,India,5,Yes,Change in field,31,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
202305F,Data Analyst,Basic,4,15-05-2023,4499,30,Business,Bachelor's,UK,3,Yes,Promotion,35,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
202204M,Digital Marketing,Basic,4,01-04-2022,4499,18,Student,Master's,India,3,Yes,Job,19,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
202402F,Machine Learning,Advanced,6,15-02-2024,8499,27,Job,Master's,India,4,Yes,Promotion,47,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes
202312M,Data Science,Advanced,6,01-12-2023,8499,29,Job,Bachelor's,India,3,No,Change in field,37,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,Yes,,,
202209M,Data Analyst,Basic,4,01-09-2022,4499,32,Business,High School,India,3,No,Devlopment,48,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",,,,,,,,No,,,
202211M,UX/UI Designer,Advanced,6,15-11-2022,8499,33,Job,Bachelor's,UK,4,No,Promotion,49,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",,,,,,,,Yes,,,
202208M,Digital Marketing,Intermediate,6,01-08-2022,6499,29,Business,Bachelor's,India,1,No,Promotion,41,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,Yes,,,
202404M,UX/UI Designer,Advanced,6,01-04-2024,8499,35,Business,Bachelor's,India,5,Yes,Change in field,50,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202205M,Web Development,Basic,4,01-05-2022,4499,29,Business,High School,India,4,Yes,Promotion,19,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202209M,Machine Learning,Intermediate,6,01-09-2022,6499,34,Fresher,High School,India,5,Yes,Devlopment,45,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202203F,UX/UI Designer,Advanced,6,01-03-2022,8499,35,Business,High School,India,3,Yes,Promotion,36,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No
